Disease,S1,S2,S3,S4,S5,S6
Cervical hypertrichosis -- peripheral neuropathy,Hairy throat,Peripheral neuropathies,Foot ulcers,Osteomyelitis of feet,,
Developmental delay due to 2-methylbutyryl-coa dehydrogenase deficiency,Delayed walking,Breathing difficulties,Irritability,Muscle weakness,Poor growth,Delayed motor skill development
Urban schosser spohn syndrome,Abnormal corneal structure,Haematuria,Bladder anomalies,Cataract,Nystagmus,
Del (4) (pter-p16.3),Short statures,Small head,Low birth weight,Variable congenital malformations,Mental retardation,Seizures
Del (3) (q21-q23),Death soon after birth in one reported case,Soft cleft palate,Small head,Epicanthus inversus,Diaphragmatic hernia,Blepharophimosis
"Migraine with or without aura, susceptibility to, 4",Nausea,Sensitivity to light,Sensitivity to noise,Migraine with aura,,
Pediatric gastroesophageal reflux disease,Sore throat,Apnea/bradycardia,Waterbrash,Irritability,Apparent life-threatening events,Regurgitation (vomiting less so)
Occupational asthma -- plastics industry,Chest tightness,Dry cough,Shortness of breath or wheezing,Shortness of breath,,
"Hereditary methemoglobinemia, recessive, type ii",Breathing difficulty after exercise,Muscle hypotonia,Fatigability after exercise,Small head,Athetosis,Opisthotonus
Van bogaert disease,Spasticity,Hallucinations,Dementia,Speech problems,High blood cholesterol level,Peripheral neuropathies
Chemical poisoning -- cresols,Nausea,Irregular breathing,Facial paralysis,Cough,Breathing difficulties,Gastrointestinal burns
"Usher syndrome, type 1e",Hearing difficulties,Blindness,Pigmentary retinopathy,Night blindness,Learning difficulties,Problems with balance
Mollusk-shell hypersensitivity -- inhalation,Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
Farmer's lung -- micropolyspora faeni,Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
Ischio-spinal dysostosis with cystic kidney disease,Kidney malformations,Fused vertebrae,Kidney dysfunction,Spine segmental anomalies,Multiple kidney cysts,Butterfly vertebrae
Gilbert's syndrome,Nausea,Yellow tinge to skin and whites of eyes,Increased blood levels of bilirubin,Upper right abdominal pain,Abdominal discomfort,Scleral jaundice
Psoriasis susceptibility 9,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility 6,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
"Immotile cilia syndrome, due to defective radial spokes",Nasal discharge,Male infertility,Bronchiectasis,Mouth breathing,Nasal polyps,Halitosis
"Immotile cilia syndrome, due to excessively long cilia",Nasal discharge,Male infertility,Bronchiectasis,Mouth breathing,Nasal polyps,Halitosis
Friedreich's ataxia,Involuntary eye movements,Palpitations,Walking difficulties,Toe flexion (involuntary bending),Speech problems,Foot inversion (turning in)
Non-food allergy -- ragweed,Sinus pain,Conjunctivitis,Cough,Nose rubbing,Breathing difficulties,Headaches
Immunoglobulin g subclass deficiency,Frequent viral infections,Low or normal serum gamma globulin levels,Ear infections,Deficiency of igg subclasses,Frequent bacterial infections,Bronchitis
Psoriasis susceptibility 11,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Autonomic nerve disorders,Muscle group rigidity,Diaphragmatic spasm or paralysis,Dysrhythmias,Dysphagia,Hyperthermia,Diaphoresis
Metabolic syndrome,Polycystic ovarian syndrome,High body mass index,Excessive waist circumference,Abnormal fasting glucose,Sleep apnea,High prothrombin level
Intestinal capillariasis,Muscle wasting,Malabsorption,Protein-losing enteropathy,Edema,Muscle weakness,Electrolyte loss
"Epilepsy, generalized -- paroxysmal dyskinesia",Generalized epilepsy,Generalized tonic-clonic seizures,Absence seizures,Abnormal involuntary movements,,
Hip osteoarthritis,Joint inflammation,Swollen joints,Joint redness,Enlarged joints,Movement difficulty,Crunching feeling in joint
Arbovirosis,Nausea,Rashes,Encephalitis,Paralysis,Muscle aching,Headaches
Perioral dermatitis,Sensation of tightness around mouth,Mild skin peeling around mouth,Mouth redness,Pustules around mouth,Bumps around mouth,Itching inside mouth
Chromosome 12p duplication syndrome,Hallux valgus,Abnormal eeg,Epicanthus,Anteverted nostrils,Epicanthal folds,Foot polydactyly
Mild citrullinemia,Spasticity,Hyperactivity,Behavioral problems,Avoidance of meat or other high-protein foods,Learning problems,Increased blood ammonia level
Dubowitz syndrome,Strabismus,Broad nose tip,Hyperactivity,Syndactyly of third toes,Syndactyly of second toes,Small head
Familial rectal pain,Eye pain,Jaw pain,Constipation due to withholding for fear of pain,Severe rectal pain after defecation,Nonepileptic tonic seizures,Screaming before an attack
Hereditary neuropathy with liability to pressure palsies,Permanent muscle weakness,Hand tingling,Permanent loss of sensation,Finger weakness,Numbness in hands,Limb pains
Psoriasis susceptibility 3,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility 12,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility 2,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility 10,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility 1,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Psoriasis susceptibility,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Hypokalemic periodic paralysis,Nausea,Muscle cramps,Severe thirst,Increased number of white blood cells in blood,Reduced number of eosinophils in blood,Increased number of neutrophils in blood
"Diabetes mellitus, insulin-dependent, susceptibility to, 3",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
Leptospirosis,Rashes,Conjunctivitis,Headaches,Jaundice,Diarrhea,Chills
Humidifier lung,Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
Trigonomacrocephaly -- tibial defect -- polydactyly,Large head,Extra digits,Shin bone defect,Triangular shaped forehead,,
Mendelian susceptibility to atypical mycobacteria,Recurring mycobacterial infection,Salmonella infection,Mycobacterium avium sepsis,Infection following bcg immunization,Salmonella osteomyelitis,Recurring tuberculosis
"Steroid-resistant asthma, type i",Chest tightness,Breathing difficulties,Chest pain,Increased mucus production,Shortness of breath or wheezing,Chest pressure
Maple syrup urine disease,Irregular breathing,Opisthotonos,Neurological damage,Feeding difficulties,Hypoglycemic crisis,Severe metabolic acidosis
Non-food allergy -- grass,Sinus pain,Conjunctivitis,Cough,Nose rubbing,Breathing difficulties,Headaches
Dup (2) (q32.3-qter),Small head,Corneal ulcers,Heart insufficiency,Minor facial anomalies,Mental retardation,Developmental delay
Dup (2) (q21-q33,Underdeveloped corpus callosum,Abnormal kidneys,Death soon after birth,Bicornuate uterus,Extra fingers,Underdeveloped brain - cerebellum
Del (2) (q32.1-q34),Cleft palate,Hydrocephaly,Mental retardation,Retarded fetal growth,Brain atrophy,Dysmorphic features
Cockayne syndrome type 2,Short statures,Sensitivity to light,Large feet,Small head,Sunken eyes,Aged appearance
Cocky apple stinging caterpillar poisoning,Sensitivity to light,Hypersensitivity reaction,Conjunctivitis,Itchy skin,Bronchospasm,Pain at site of sting
Fibular aplasia -- ectrodactyly,Absent fibula,Short arm bones,Absent feet,Premature birth,Cleft feet,Missing fingers
Hypoglycemia with deficiency of glycogen synthetase in the liver,Disorientation,Convulsions,Pallor,Uncoordinated eye movements,Acetone in urine,Seizures
Klippel feil deformity conductive deafness absent vagina,Rib abnormalities,Kidney defects,Renal defects,Hearing loss,Underdeveloped uterus,Kidney agenesis
Dihydropyrimidine dehydrogenase deficiency,Small head,Reduced number of neutrophils in blood,Deficiency of dihydropyrimidine dehydrogenase,Abnormal brain (cerebral) function,High 5-hydroxymethyluracil level in urine,Brain dysmyelination
Twin-twin transfusion syndrome,Arterial hypertension in recipient twin,Increase body size in recipient twin,Low blood volume in recipient twin,Myocardial hyperplasia in recipient twin,Undersized visceral organs in donor twin,Excess amniotic fluid in recipient twin
Eisenmenger syndrome,Breathing difficulty on exertion,Enlarged pulmonary arteries,Cough,High blood pressure,Toe clubbing,Delayed physical development
Sea thimble larvae envenomation,Itchy skin rash,Red scaly skin rash,Raised bumpy rash,Blistered skin,Skin rashes,
"Usher syndrome, type 1d",Hearing difficulties,Blindness,Pigmentary retinopathy,Night blindness,Learning difficulties,Problems with balance
"Parkinsonism, early-onset -- mental retardation",Spasticity,Large head,Parkinson seizures,Dandy walker malformations,Reduced muscle tone,Muscle contractures
"Diabetes mellitus, insulin-dependent, susceptibility to, 2",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 19",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 17",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 15",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 13",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 10",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 1",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 22",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
"Diabetes mellitus, insulin-dependent, susceptibility to, 20",Nausea,Muscle cramps,Tiredness,Irritability,Weight loss,Blurred vision
Hemosiderosis,Lung damage,Breathing difficulties,Runny nose,Iron deficiency anemia,Coughing up blood,Failure to thrive
Dystrophic calcinosis cutis,Firm skin lesions,Whitish/yellowish skin lesions,Light colored nodules,Light colored plaques,Light colored papules,
"Molybdenum, cofactor deficiency, inherited",Small head,Metabolic acidosis,Neurological manifestations,Duodenal ulcers,Increased reflex response,Intracranial hemorrhage
Launois-bensaude adenolipomatosis,Groin lump,Lymph node lumps,Armpit lump,Lumps in the neck,,
Primary pulmonary hypertension -- dexfenfluramine-associated,Abdominal ascites,Swollen feet or ankles,Fainting,Dizziness,Chest pain,Tiredness
Lipoproteine lipase deficiency,Nausea,Enlarged liver,Distended stomach,Failure to thrive,Malaise,Abdominal pain
Pale tussock moth caterpillar poisoning,Sensitivity to light,Hypersensitivity reaction,Conjunctivitis,Itchy skin,Bronchospasm,Pain at site of sting
Nephronophthisis 2,Metabolic acidosis,Nephritis,Kidney failure,Protein in urine,Thirst,Kidney cysts
Nephronophthisis 3,Metabolic acidosis,Nephritis,Kidney failure,Thirst,Kidney cysts,Increased urination
Nephronophthisis 7,Metabolic acidosis,Nephritis,Kidney failure,Thirst,Kidney cysts,Increased urination
"Prostate cancer, hereditary, 1",Painful ejaculation,Blood in semen,Prostate cancer,Weak urination flow,Interrupted urination flow,Nocturnal urination
Psoriasis susceptibility 8,Itchy skin lesions,Raised red skin patches,Dry skin patches,Bleeding skin patches,Loose silvery scales,Thick flaky white skin patches
Epidermolytic epidermolysis bullosa,Fragile skin,Underdeveloped tooth enamel,Thickening of skin on palms,Thickening of skin on soles,Nail deformities,Hair loss
Partial emotional seizure,Sudden uncontrollable fear for no apparent reason,Emotional changes,Sudden uncontrollable laughter for no apparent reason,Sudden uncontrollable crying for no apparent reason,Sudden uncontrollable anger for no apparent reason,Sudden uncontrollable rage for no apparent reason
Lindsay-burn syndrome,Shuffling gait,Pyramidal signs,Manic depressive psychosis,Learning difficulties,Enlarged testicles,Increased tendon reflexes
"Chromosome 20, deletion 20p",Down slanting space between eyelids,Low nose bridge,Kyphosis,Long groove in upper lip,Congenital heart defects,Small ears
Chromosome 20q duplication syndrome,Vesicourethral reflux,Anteverted nostrils,Epicanthal folds,Camptodactyly,Reduced muscle tone,Congenital heart defects
Paprika splitter's lung -- mucor stolonifer,Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
Herbal agent overdose -- kava,Tiredness,Sedation,Yellow skin,Deafness,Incoordination,
Pseudoxanthoma elasticum,Thickened skin,Peripheral blood vessel obstruction,Heart blood vessel obstruction,Obstruction of brain arteries,Reddish-purple skin bumps,Reddish-purple skin plaques
Hypoaldosteronism,Low blood pressure,Gastrointestinal disturbances,Dizziness,Palpitations,Low blood sodium level,Salt cravings
Vitamin d toxicity,Nausea,High blood calcium level,Irritability,Constipations,Mental retardation,Kidney stones
Mumps,Sore throat,Facial pain,Loss of appetite,Swallowing pain,"Pain with acidic foods - e.g. lemons, citrus fruits, vinegar",Headaches
Fragile-x syndrome,Nearsightedness,High arched palate,Hyperactivity,Poor eye contact,Soft ear cartilage,Hand flapping
Neurofibromatosis syndrome type ii,Short statures,Acoustic neuromas,Large head,Hearing loss,Juvenile posterior subcapsular cataracts,Schwanomas of the dorsal spinal roots
Otopalatodigital syndrome type i and ii,Short statures,Short fingers,Fingers curve inwards,Sunken chest at birth,Cleft palate,Broad nose
Chemical poisoning -- paraphenylenediamine,Nausea,Eyelids swelling,Dizziness,Eye pain,Skin redness,Cough
Milk poisoning,Nausea,Abnormal heart rhythm,High blood calcium level,Mental changes,Headaches,Confusion
Granuloma annulare,Ringed red bumps on back of lower legs,Ringed red bumps on back of hands,Ringed red bumps on soles of feet,Ringed red bumps on arms,Ringed red bumps on back of knees,Ringed red bumps on elbows
Leptomeningitis,Paralysis,Facial flushing,Bright eyes,Restlessness,Muscle spasms,Pupil contraction
Multicentric reticulohistiocytosis,Mucosal nodules,Enlarge lymph nodes,High level of lipids in blood,Hypertension,Subcutaneous nodules,Deforming polyarthritis
Asrar-facharzt-haque syndrome,Nasal discharge,Enlarged liver,Mouth breathing,Enlarge lymph nodes,Sinus mass,Nasal obstruction
Humidifier lung -- naegleria gruberi,Cough,Lung inflammation,Chills,Body aches,Impaired lung functions,Hypersensitivity pneumonitis
Anorectal atresia,Absent anal opening,Infant death,Inability to move fecal waste,Stillbirth,Fetal death,
Human hoxa1 syndromes,Strabismus,Cerebrovascular anomalies,Semicircular ear canals,Behavioral problems,Absent cochlea,Delayed motor milestones
